id,name,text,trans
41,Vaseraga,These youngsters are skyfarers. Some of the best you'll find. We fought together a while back.,这些小伙子是骑空士。你能找到的骑空士中最好的那一批。不久前我们曾一起战斗。
42,Zeta,"Yeah, yeah, 姬塔 and crew are great at what they do! These kiddos even take down primal beasts!",对的，对的，姬塔和团员们都是好手！这些小朋友甚至打倒了星晶兽！
43,,Eustace nods slightly before pointing the muzzle of his gun at the crew.,<span class='scene-font-katari'>尤斯缇斯在用枪口指着一行人前微微点了点头。</span>
44,,"But it is the piercing gleam in Eustace's eye that terrifies the crew, making them ready their weapons.",<span class='scene-font-katari'>但尤斯缇斯眼中的刺人光芒吓到了团员们，让他们举起了自己的武器。
45,Zeta,Stop! Eustace! They're not our enemies!,停下！尤斯缇斯！他们不是我们的敌人！
46,Eustace,I know... Just testing their reflexes.,我知道……试试他们的反应罢了。
47,Zeta,What! Cut the crap and drop your weapon now—,啥！别废话、现在放下你的武器——
48,Vaseraga,Wait. Eustace never acts without reason. You know that as well I do.,等等。尤斯缇斯从不轻率行动。你我都知道这一点。
49,Zeta,But still...,但这……
50,Eustace,I'll go easy on 'em.,我不会对他们怎们样的。
51,Vyrn/碧,"What's that supposed to mean! You think we're gonna take that lying down? You're playing with fire! Right, 姬塔?",你在说些什么！你以为我们就会这么忍下来？你在玩火！对吧，姬塔？
52,,姬塔 nods in agreement and squares off against Eustace.,<span class='scene-font-katari'>姬塔赞同地点头，并朝尤斯缇斯摆好了架势。
info,,,scene_evt151231_cp1_q2_s20
译者,,,Ἀκρασἰα
