id,name,text,trans
45,Vaseraga,"I'd have preferred Zeta going in search of Bea, but things didn't quite pan out.",我更希望泽塔前去搜寻贝阿，但事情并不顺利。
46,Lyria/露莉亚,I can tell Beatrix is really important to Zeta...,我能感觉到，贝阿朵莉切对泽塔来说真的很重要……
47,Vaseraga,"Yes... Oh, I've said too much again.",是的……哦，我又说了太多话了。
48,Lyria/露莉亚,"I know! We'll help out! Won't we, 姬塔?",我知道了！我们会帮忙的！对吧，姬塔？
48-sel1_txt,,If that's what Zeta wants.,如果那是泽塔想要的。
48-sel2_txt,,"Weeell, that depends on the pay.",嗯——这取决于报酬。
49,Lyria/露莉亚,"Yes! Zeta was always there for us, so we owe her one. We'll do what we can!",对！泽塔一直在给我们提供帮助，所以我们欠她一回。我们会尽力的！
50,,"On hearing 姬塔 and Lyria's discussion, Zeta puts a stop to her standoff with Eustace and turns to the crew.",<span class='scene-font-katari'>听到姬塔和露莉亚的讨论，泽塔不再和尤斯缇斯僵持，转向了一行人。</span>
51,Zeta,Are you sure?,你们确定？
52,Vyrn/碧,"Of course we're sure! Right, 姬塔?",当然！对吧，姬塔？
53,Zeta,Thank you.,谢谢你们。
54,,"On hearing 姬塔's tongue-in-cheek remark, Eustace puts a stop to his standoff with Zeta and turns to the crew.",<span class='scene-font-katari'>听到姬塔半开玩笑的话，尤斯缇斯不再和泽塔僵持，转向了一行人。</span>
55,Eustace,Remuneration will be paid by the Society.,报酬将由“组织”支付。
56,Zeta,I'll talk to the higher-ups too. The pay should be good!,我也会和上级谈谈的。报酬会很棒的！
57,Zeta,"Huh? 姬塔, what's the matter? You're blushing.",哈？姬塔，怎么了？你脸红了。
58,Vyrn/碧,Hahaha... The captain was only kidding!,哈哈……团长只是在开玩笑！
59,Vyrn/碧,"So when you took it so seriously, 姬塔 got all embarrassed.",所以当你这么认真地对待，姬塔就会非常尴尬。
60,Zeta,"Pfft, hahah! Aww, 姬塔, you've turned the same color as my outfit!",噗，哈哈！噢，姬塔，你的脸变得和我的外套一样红了！
61,Zeta,"Joking aside, do you accept?",不开玩笑了，你接受吗？
62,,姬塔 nods solemnly in response.,<span class='scene-font-katari'>姬塔郑重地点头回应。</span>
63,Zeta,Great! Thank you.,太好了！谢谢你们。
64,Vyrn/碧,"Well, we were heading to North Vast anyway, so we might as well take the job. Not that we're being opportunistic, mind you.",好吧，不管怎么说我们本来就在朝着北方荒原前进，所以接下这份工作也好。注意了，我们这不是在见风使舵。
65,Eustace,It seems we share an interest in North Vast.,看来我们都对北方荒原感兴趣。
66,,"Eustace reaches out to the crew. 姬塔 takes his hand, and the pair shake on their newly-forged alliance.",<span class='scene-font-katari'>尤斯缇斯向一行人伸出手。姬塔握住了他的手，两人就新铸就的同伴关系作出了表示。</span>
67,Eustace,The die is cast.,骰子已经掷下。
68,Zeta,"The sooner Vaseraga and I complete our tasks, the sooner we'll be able to meet up again. I'm counting on you, 姬塔!",我和巴萨拉卡越快完成任务，我们就能越早再见面。我就指望你了，姬塔！
69,Zeta,"We need to get going, Vaseraga!",我们该走了，巴萨拉卡！
70,Vaseraga,"Yes... Take care, 姬塔.",是……保重，姬塔。
72,,"After Zeta and Vaseraga take their leave, Eustace levels his gun at 姬塔 once more.",<span class='scene-font-katari'>泽塔和巴萨拉卡离开之后，尤斯缇斯再度向着姬塔。</span>
73,Eustace,Show me the airship.,让我看看飞空艇。
74,Vyrn/碧,"What? Steady on, tough guy! You're saying you wanna come aboard our ship?",什么？慢着，硬汉！你说你想上我们的船？
75,Eustace,That works for me.,是这样的。
76,Vyrn/碧,"Ungh, what's up with this guy? I'm not so sure I can trust him...",啊，这家伙是怎么回事？我不知道我能否相信他……
77,Eustace,I don't need your trust.,我不需要你们的相信。
78,Vyrn/碧,Why you! You're getting right on my tail!,为什么！你一直紧抓着我不放！
79,Lyria/露莉亚,"Ahaha... W-we can all be friends, right?",啊哈哈……我们都能成为朋友，对吗？
80,,"The crew brings Eustace onboard, and they plot a course for North Vast.",<span class='scene-font-katari'>一行人把尤斯缇斯带上了船，他们定下了前往北方荒原的航线。</span>
info,,,scene_evt151231_cp1_q3_s10
译者,,,Ἀκρασἰα
